Family,Genus,Species,Author
Scorpaeniformes,Liparidae,Careproctus spp,
Scorpaeniformes,Liparidae,Liparis bathyarcticus,Parr 1931
Scorpaeniformes,Liparidae,Liparis fabricii,Krøyer 1847
Scorpaeniformes,Liparidae,Liparis liparis,(Linnaeus 1766)
Scorpaeniformes,Liparidae,Liparis montagui,(Donovan 1804)
Scorpaeniformes,Liparidae,Liparis tunicatus,Reinhardt 1836
Scorpaeniformes,Liparidae,Paraliparis bathybius,(Collett 1879)
Scorpaeniformes,Liparidae,Rhodichthys regina,Collett 1879
Scorpaeniformes,Liparidae,Liparidae,
Perciformes,Carangidae,Trachurus trachurus,(Linnaeus 1758)
Perciformes,Zoarcidae,Gymnelus spp,
Perciformes,Zoarcidae,Lycenchelys kolthoffi,Jensen 1904
Perciformes,Zoarcidae,Lycenchelys muraena,(Collett 1878)
Perciformes,Zoarcidae,Lycenchelys sarsii,(Collett 1871)
Perciformes,Zoarcidae,Lycodes adolfi,Nielsen & Fosså 1993
Perciformes,Zoarcidae,Lycodes esmarkii,Collett 1875
Perciformes,Zoarcidae,Lycodes eudipleurostictus,Jensen 1902
Perciformes,Zoarcidae,Lycodes frigidus,Collett 1879
Perciformes,Zoarcidae,Lycodes gracilis,Sars 1867
Perciformes,Zoarcidae,Lycodes luetkenii,Collett 1880
Perciformes,Zoarcidae,Lycodes paamiuti,Møller 2001
Perciformes,Zoarcidae,Lycodes pallidus,Collett 1879
Perciformes,Zoarcidae,Lycodes polaris,(Sabine 1824)
Perciformes,Zoarcidae,Lycodes reticulatus,Reinhardt 1835
Perciformes,Zoarcidae,Lycodes rossi,Malmgren 1865
Perciformes,Zoarcidae,Lycodes seminudus,Reinhardt 1837
Perciformes,Zoarcidae,Lycodes squamiventer,Jensen 1904
Perciformes,Zoarcidae,Lycodonus flagellicauda,(Jensen 1902)
Perciformes,Zoarcidae,Zoarcidae,
Perciformes,Stichaeidae,Anisarchus medius,(Reinhardt 1837)
Perciformes,Stichaeidae,Leptoclinus maculatus,(Fries 1838)
Perciformes,Stichaeidae,Lumpenus fabricii,Reinhardt 1836
Perciformes,Stichaeidae,Lumpenus lampretaeformis,(Walbaum 1792)
Perciformes,Pholidae,Pholis gunnellus,(Linnaeus 1758)
Perciformes,Anarhichadidae,Anarhichas denticulatus,Krøyer 1845
Perciformes,Anarhichadidae,Anarhichas lupus,Linnaeus 1758
Perciformes,Anarhichadidae,Anarhichas minor,Olafsen 1772
Perciformes,Ammodytidae,Ammodytes spp,
Perciformes,Scombridae,Scomber scombrus,Linnaeus 1758
Perciformes,Centrolophidae,Centrolophus niger,(Gmelin 1789)
Perciformes,Centrolophidae,Schedophilus medusophagus,(Cocco 1839)
Pleuronectiformes,Scophthalmidae,Lepidorhombus boscii,(Risso 1810)
Pleuronectiformes,Scophthalmidae,Lepidorhombus whiffiagonis,(Walbaum 1792)
Pleuronectiformes,Scophthalmidae,Zeugopterus norvegicus,(Günther 1862)
Pleuronectiformes,Pleuronectidae,Glyptocephalus cynoglossus,(Linnaeus 1758)
Pleuronectiformes,Pleuronectidae,Hippoglossoides platessoides,(Fabricius 1780)
Pleuronectiformes,Pleuronectidae,Hippoglossus hippoglossus,(Linnaeus 1758)
Pleuronectiformes,Pleuronectidae,Limanda limanda,(Linnaeus 1758)
Pleuronectiformes,Pleuronectidae,Liopsetta glacialis,(Pallas 1776)
Pleuronectiformes,Pleuronectidae,Microstomus kitt,(Walbaum 1792)
Pleuronectiformes,Pleuronectidae,Platichthys flesus,(Linnaeus 1758)
Pleuronectiformes,Pleuronectidae,Pleuronectes platessa,Linnaeus 1758
Pleuronectiformes,Pleuronectidae,Reinhardtius hippoglossoides,(Walbaum 1792)
